product_name,product_hier_1,product_hier_2,product_hier_3,year,period_type,period,unit,value
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,June,bbl,
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,June,bbl,
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,July,bbl,
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,August,bbl,4
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,September,bbl,5.1
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,October,bbl,5.2
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,November,bbl,5.3
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2019,Monthly,December,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,January,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,February,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,March,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,April,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,May,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,June,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,July,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,August,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,September,bbl,5.8
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,October,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,November,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2020,Monthly,December,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2021,Quarterly,Q1,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2021,Quarterly,Q2,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2021,Quarterly,Q3,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2021,Quarterly,Q4,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2022,Quarterly,Q1,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2022,Quarterly,Q2,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2022,Quarterly,Q3,bbl,5.5
CRUDE,Physical,Physical Premiums,Regional vs Dated Brent,2022,Quarterly,Q4,bbl,5.5
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,June,bbl,
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,June,bbl,
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,July,bbl,
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,August,bbl,3.5
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,September,bbl,3.5
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,October,bbl,3.5
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,November,bbl,3.5
CRUDE,Physical,Physical Premiums,US vs Dated Brent,2019,Monthly,December,bbl,3.5
